experiment,test_source,feature_type,model_type,model,f1,mcc,roc,pr,bal_acc,acc,best_params,train_samples,test_samples,anomaly_rate
Proxifier_bert,Proxifier,bert,supervised,svm,0.14499252615844543,0.17656371993464737,0.9999729130889372,0.9994601139836973,0.6994219653179191,0.428,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10000,2000,0.0485
Proxifier_bert,Proxifier,bert,supervised,dt,0.21176470588235294,0.20908967244437218,0.5967083985676441,0.12263938799726215,0.7104490468115997,0.7655,"{'max_depth': 10, 'min_samples_split': 2}",10000,2000,0.0485
Proxifier_bert,Proxifier,bert,supervised,rf,0.11672683513838748,0.11902931396818937,0.9875725252043708,0.8273555518370265,0.6142932212296375,0.266,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",10000,2000,0.0485
Proxifier_bert,Proxifier,bert,supervised,gb,0.2516382699868938,0.3145881210415499,0.9376892697910515,0.565086177398073,0.8450818295583209,0.7145,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.0485
Proxifier_bert,Proxifier,bert,supervised,xgb,0.14586466165413534,0.17806666162372237,0.9119729564279948,0.3545696112654757,0.7015239096163952,0.432,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.0485
Proxifier_bert,Proxifier,bert,unsupervised,iso,0.030620467365028204,-0.171623710382585,0.19172115650275473,0.027809749501966213,0.3023522273566967,0.3985,N/A,10000,2000,0.0485
Proxifier_bert,Proxifier,bert,unsupervised,ocsvm,0.07206317867719644,-0.2585702877772143,0.27014859879409076,0.03052181579923699,0.38863758254736147,0.06,N/A,10000,2000,0.0485
Proxifier_bert,Proxifier,bert,unsupervised,lof,0.06903257170636849,-0.40000215036328185,0.10465298958237398,0.0259140622235634,0.3696577839656321,0.0425,N/A,10000,2000,0.0485
Proxifier_hybrid,Proxifier,hybrid,supervised,nb,0.11069558713537771,0.06646152863214096,0.6678494617830772,0.3792821744210494,0.575084917466182,0.4055,{'var_smoothing': 1e-09},10000,2000,0.0485
Proxifier_hybrid,Proxifier,hybrid,supervised,lr,0.1041890440386681,0.08238118776061809,0.7268610062245722,0.2604582419013456,0.5617446137677351,0.166,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",10000,2000,0.0485
Proxifier_hybrid,Proxifier,hybrid,supervised,knn,0.12207987942727958,0.1020993495287573,0.6241799437675726,0.4212603968897894,0.6156340233272478,0.4175,"{'n_neighbors': 3, 'weights': 'distance'}",10000,2000,0.0485
Proxifier_hybrid,Proxifier,hybrid,supervised,svm,0.09556650246305419,0.042032763801258526,0.8918094598328195,0.3591944875245657,0.5176037834997372,0.082,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10000,2000,0.0485
Proxifier_hybrid,Proxifier,hybrid,supervised,dt,0.09667194928684628,0.021227053084110048,0.41144205297116326,0.14890775146343596,0.5243646765010211,0.43,"{'max_depth': 10, 'min_samples_split': 2}",10000,2000,0.0485
